Tamanho do Vetor;Tempo de Execução Estático;Tempo de Execução Distribuido
500;234655.0;3.6173302E7
1000;101902.0;1.6864857E7
1500;153405.0;1.1398371E7
2000;248811.0;1.0527245E7
2500;310028.0;6435161.0
3000;289809.0;7198181.0
3500;354687.0;1.487823E7
4000;446155.0;1.2260742E7
4500;465248.0;1.5352777E7
5000;478325.0;2.6789791E7
5500;572719.0;9429809.0
6000;632423.0;1.190139E7
6500;647467.0;7017575.0
7000;661656.0;1.9145327E7
7500;714348.0;7633742.0
8000;609921.0;1.4942471E7
8500;117224.0;4958441.0
9000;107554.0;3670522.0
9500;113507.0;3570391.0
10000;158386.0;3432780.0
10500;129173.0;3779400.0
11000;212728.0;8253926.0
11500;33099.0;4526896.0
12000;11294.0;4058774.0
12500;12065.0;3627234.0
13000;12348.0;3709291.0
13500;12956.0;3378746.0
14000;12919.0;3649457.0
14500;13415.0;3480794.0
15000;14211.0;3436487.0
15500;14272.0;3634525.0
16000;15315.0;4017031.0
16500;15087.0;3702496.0
17000;15577.0;3930297.0
17500;16846.0;3952400.0
18000;16325.0;3974825.0
18500;16860.0;3957069.0
19000;17268.0;4104524.0
19500;18644.0;4313177.0
20000;19320.0;4047309.0
20500;18352.0;4034248.0
21000;18787.0;4467670.0
21500;19434.0;4094141.0
22000;19697.0;4244483.0
22500;21454.0;4411048.0
23000;20663.0;4622566.0
23500;21009.0;4973973.0
24000;21592.0;5021907.0
24500;22044.0;4968508.0
25000;22314.0;4781251.0
25500;23326.0;4747703.0
26000;23271.0;4665619.0
26500;23610.0;4785769.0
27000;23924.0;4743312.0
27500;24435.0;4670647.0
28000;30397.0;5271021.0
28500;25482.0;4824601.0
29000;25897.0;4789208.0
29500;26197.0;5009294.0
30000;27441.0;5077585.0
30500;28136.0;5188984.0
31000;28369.0;5181389.0
31500;28605.0;5114317.0
32000;29073.0;5289115.0
32500;30260.0;5395709.0
33000;30026.0;5442266.0
33500;29582.0;5381337.0
34000;29953.0;5586682.0
34500;30796.0;5828246.0
35000;30748.0;5500768.0
35500;31227.0;5704613.0
36000;56104.0;5772800.0
36500;38413.0;7307535.0
37000;33265.0;5700209.0
37500;33055.0;5667633.0
38000;33917.0;5574679.0
38500;33886.0;6632401.0
39000;34256.0;5687567.0
39500;34845.0;5985852.0
40000;35179.0;6067267.0
40500;41780.0;5989523.0
41000;35862.0;6026328.0
41500;36580.0;6216288.0
42000;36885.0;6156442.0
42500;37283.0;6320716.0
43000;37612.0;6556296.0
43500;38080.0;6150774.0
44000;42726.0;6425932.0
44500;40668.0;6922272.0
45000;39854.0;6527563.0
45500;39887.0;6632705.0
46000;40199.0;6885406.0
46500;40587.0;6990558.0
47000;41251.0;7430025.0
47500;41316.0;1.0448543E7
48000;42639.0;7031268.0
48500;48652.0;7122777.0
49000;43160.0;7244579.0
49500;43266.0;7168090.0
50000;43550.0;6718967.0
50500;53444.0;7256042.0
51000;44886.0;7168712.0
51500;45367.0;7038852.0
52000;45409.0;7317445.0
52500;45629.0;7215653.0
53000;47372.0;7546033.0
53500;47778.0;7496805.0
54000;48360.0;7308720.0
54500;47318.0;7930230.0
55000;48081.0;7782808.0
55500;48702.0;7407338.0
56000;48912.0;7380216.0
56500;53282.0;7567777.0
57000;49952.0;7988324.0
57500;51937.0;7763352.0
58000;50995.0;7762201.0
58500;51123.0;7949188.0
59000;51583.0;8559901.0
59500;72301.0;9300199.0
60000;52639.0;7918436.0
60500;52826.0;8231839.0
61000;53157.0;8120347.0
61500;53587.0;8213469.0
62000;53912.0;8367414.0
62500;55310.0;8122174.0
63000;61374.0;8208703.0
63500;66648.0;8304109.0
64000;56236.0;9313249.0
64500;62395.0;8097455.0
65000;56522.0;8308987.0
65500;56746.0;8409933.0
66000;57144.0;8598258.0
66500;57621.0;8699593.0
67000;58026.0;8435394.0
67500;58510.0;8977248.0
68000;58900.0;8462307.0
68500;59980.0;8998585.0
69000;60735.0;8645924.0
69500;81984.0;8962260.0
70000;60600.0;8750451.0
70500;64331.0;9142251.0
71000;63201.0;9344377.0
71500;65004.0;8927374.0
72000;62261.0;9274870.0
72500;62684.0;9235129.0
73000;63022.0;9366006.0
73500;65847.0;9418794.0
74000;64777.0;9270028.0
74500;64450.0;9365926.0
75000;64929.0;9208751.0
75500;65204.0;9302898.0
76000;65645.0;9430831.0
76500;71225.0;9406526.0
77000;66625.0;9411261.0
77500;66992.0;1.2778732E7
78000;94017.0;1.1751575E7
78500;69395.0;1.1205238E7
79000;68195.0;1.104053E7
79500;68612.0;1.1227368E7
80000;69150.0;1.1090598E7
80500;69457.0;1.0808382E7
81000;69790.0;1.0865427E7
81500;70419.0;1.0858661E7
82000;70743.0;1.0921275E7
82500;71147.0;1.093007E7
83000;72340.0;1.0735062E7
83500;71992.0;1.1789598E7
84000;72553.0;1.0799976E7
84500;72850.0;1.1384085E7
