Tamanho do Vetor;Tempo de Execução Estático;Tempo de Execução Distribuido
500;0.0;2.2899255E7
1000;0.0;1.2281022E7
1500;0.0;2.3254061E7
2000;0.0;7798399.0
2500;0.0;8680516.0
3000;0.0;8675126.0
3500;0.0;1.2883802E7
4000;0.0;1.3923719E7
4500;0.0;1.3835997E7
5000;0.0;1.3684077E7
5500;0.0;1.4279016E7
6000;0.0;1.4792604E7
6500;0.0;1.4836219E7
7000;0.0;1.4664697E7
7500;0.0;1.4809265E7
8000;0.0;1.8152978E7
8500;0.0;1.7707019E7
9000;0.0;1.3503243E7
9500;0.0;1.9898098E7
10000;0.0;1.3046013E7
10500;0.0;1.4358897E7
11000;0.0;1.4028102E7
11500;0.0;1.7660952E7
12000;0.0;1.4110434E7
12500;0.0;1.4403983E7
13000;0.0;1.5173874E7
13500;0.0;1.6598982E7
14000;0.0;2.2561109E7
14500;0.0;1.7612926E7
15000;0.0;1.7881481E7
15500;0.0;1.8407811E7
16000;0.0;1.900618E7
16500;0.0;2.006129E7
17000;0.0;2.0657698E7
17500;0.0;2.1088465E7
18000;0.0;2.3746576E7
18500;0.0;1.9740297E7
19000;0.0;2.211368E7
19500;0.0;2.2371944E7
20000;0.0;2.1038969E7
20500;0.0;2.241115E7
21000;0.0;2.6869269E7
21500;0.0;2.4106774E7
22000;0.0;2.6077814E7
22500;0.0;2.9232851E7
23000;0.0;2.6843785E7
23500;0.0;3.0689323E7
24000;0.0;2.4907049E7
24500;0.0;2.4917831E7
25000;0.0;2.5426518E7
25500;0.0;2.5887669E7
26000;0.0;2.6499269E7
26500;0.0;2.6704117E7
27000;0.0;2.8340443E7
27500;0.0;2.8580575E7
28000;0.0;2.877513E7
28500;0.0;2.9375459E7
29000;0.0;3.0566807E7
29500;0.0;3.0746661E7
30000;0.0;3.0928475E7
30500;0.0;3.081919E7
31000;0.0;3.1249957E7
31500;0.0;3.1950749E7
32000;0.0;3.2155107E7
32500;0.0;3.3375858E7
33000;0.0;3.3762028E7
33500;0.0;3.5079323E7
34000;0.0;3.4021763E7
34500;0.0;3.4842132E7
35000;0.0;3.6007995E7
35500;0.0;3.6519133E7
36000;0.0;3.6412299E7
36500;0.0;3.6813172E7
37000;0.0;3.7776148E7
37500;0.0;3.8673947E7
38000;0.0;4.1282071E7
38500;0.0;3.9994181E7
39000;0.0;3.8888106E7
39500;0.0;3.9364449E7
40000;0.0;3.9523719E7
40500;0.0;4.63464E7
41000;0.0;4.1178178E7
41500;0.0;4.0483757E7
42000;0.0;4.2432253E7
42500;0.0;7.7478252E7
43000;0.0;4.2543989E7
43500;0.0;4.2585154E7
44000;0.0;4.2694928E7
44500;0.0;4.3405522E7
45000;0.0;4.5189358E7
45500;0.0;4.4805637E7
46000;0.0;4.4495916E7
46500;0.0;4.8703612E7
47000;0.0;4.5498589E7
47500;0.0;4.9833211E7
48000;0.0;4.6428241E7
48500;0.0;4.5989634E7
49000;0.0;4.6855087E7
49500;0.0;4.8726155E7
50000;0.0;4.9050577E7
50500;0.0;4.8173362E7
51000;0.0;4.8217468E7
51500;0.0;5.0242415E7
52000;0.0;5.1011817E7
52500;0.0;5.103534E7
53000;0.0;5.1145114E7
53500;0.0;5.1483749E7
54000;0.0;5.2652063E7
54500;0.0;5.2578064E7
55000;0.0;5.1459246E7
55500;0.0;5.2131125E7
56000;0.0;5.4609382E7
56500;0.0;5.4494217E7
57000;0.0;5.3423426E7
57500;0.0;5.4177635E7
58000;0.0;5.6294715E7
58500;0.0;5.648878E7
59000;0.0;5.6513773E7
59500;0.0;5.6987666E7
60000;0.0;5.7964365E7
60500;0.0;5.6923958E7
61000;0.0;5.7289055E7
61500;0.0;5.8630853E7
62000;0.0;5.9071911E7
62500;0.0;6.0134372E7
63000;0.0;6.1173309E7
63500;0.0;6.0322066E7
64000;0.0;5.9889829E7
64500;0.0;6.0538675E7
65000;0.0;6.3925512E7
65500;0.0;6.2138246E7
66000;0.0;6.1804512E7
66500;0.0;6.3646175E7
67000;0.0;6.3817698E7
67500;0.0;6.4503298E7
68000;0.0;6.4351868E7
68500;0.0;6.3199236E7
69000;0.0;6.5059032E7
69500;0.0;6.6171969E7
70000;0.0;6.5240846E7
70500;0.0;6.6342511E7
71000;0.0;6.6511584E7
71500;0.0;6.7668137E7
72000;0.0;7.3099524E7
72500;0.0;6.6487571E7
73000;0.0;6.9413747E7
73500;0.0;6.9484316E7
74000;0.0;6.9939097E7
74500;0.0;6.9090794E7
75000;0.0;7.0634498E7
75500;0.0;7.0833465E7
76000;0.0;7.1457807E7
76500;0.0;7.0311546E7
77000;0.0;7.0300274E7
77500;0.0;7.208656E7
78000;0.0;7.1590615E7
78500;0.0;7.1946402E7
79000;0.0;7.5151915E7
79500;0.0;7.4566778E7
80000;0.0;7.996778E7
80500;0.0;7.4442302E7
81000;0.0;7.5314126E7
81500;0.0;7.4477586E7
82000;0.0;7.58777E7
82500;0.0;7.7320942E7
83000;0.0;7.7789444E7
83500;0.0;7.6933791E7
84000;0.0;7.6775499E7
84500;0.0;7.9836444E7
