Tamanho do Vetor;Tempo de Execução Estático;Tempo de Execução Distribuido
50000;0.005604551;0.047017604
55000;0.002113719;0.024187356
60000;3.09092E-4;0.017856387
65000;6.7983E-5;0.012901193
70000;6.1824E-5;0.011534426
75000;6.6607E-5;0.011752203
80000;7.0795E-5;0.012019448
85000;7.457E-5;0.011964677
90000;7.9588E-5;0.012094266
95000;8.1975E-5;0.012686467
100000;8.7815E-5;0.012639067
105000;9.5253E-5;0.01209524
110000;1.08819E-4;0.013524173
115000;1.00283E-4;0.012851591
120000;1.03659E-4;0.013685267
125000;1.08291E-4;0.014452596
130000;1.12951E-4;0.013303422
135000;1.17472E-4;0.014662014
140000;1.21704E-4;0.014821437
145000;1.2627E-4;0.015428307
150000;1.3721E-4;0.016584228
155000;1.34111E-4;0.018380945
160000;1.38924E-4;0.017531885
165000;1.42688E-4;0.016719717
170000;1.47387E-4;0.01776314
175000;1.52078E-4;0.019291122
180000;1.62624E-4;0.017789365
185000;1.59412E-4;0.017221872
190000;1.64374E-4;0.019801639
195000;1.73523E-4;0.018950535
200000;1.78613E-4;0.019773734
205000;1.84215E-4;0.02021101
210000;1.89677E-4;0.02236258
215000;1.8657E-4;0.0200556
220000;1.89607E-4;0.021354936
225000;1.99091E-4;0.021647318
230000;1.98923E-4;0.02679622
235000;2.03792E-4;0.023222839
240000;2.07562E-4;0.023316843
245000;2.13989E-4;0.022603337
250000;2.16193E-4;0.023304785
255000;2.66576E-4;0.026081433
260000;2.25426E-4;0.026405607
265000;2.43271E-4;0.023536335
270000;2.56524E-4;0.023882638
275000;2.38589E-4;0.024970548
280000;2.49099E-4;0.025112259
285000;2.46457E-4;0.025626823
290000;2.50147E-4;0.026221024
295000;2.57283E-4;0.028580006
300000;2.57863E-4;0.033034822
305000;2.67204E-4;0.029236798
310000;2.6697E-4;0.030159959
315000;3.05588E-4;0.028980713
320000;2.76236E-4;0.031076256
325000;2.79857E-4;0.028331665
330000;2.86217E-4;0.033791135
335000;2.94426E-4;0.035602323
340000;3.37643E-4;0.03592092
345000;2.97658E-4;0.032518649
350000;3.0038E-4;0.033496572
355000;3.06511E-4;0.031751436
360000;3.11883E-4;0.03038129
365000;3.25778E-4;0.03933919
370000;3.20036E-4;0.03783918
375000;3.24309E-4;0.035104152
380000;3.30236E-4;0.038871228
385000;3.33107E-4;0.037719708
390000;3.49245E-4;0.034856956
395000;3.41878E-4;0.046953964
400000;4.01245E-4;0.039283167
405000;3.5144E-4;0.036158285
410000;4.3505E-4;0.035822812
415000;3.59743E-4;0.034831593
420000;3.63806E-4;0.03550973
425000;3.73521E-4;0.044142732
430000;3.70461E-4;0.03886367
435000;3.78431E-4;0.041710685
440000;3.90127E-4;0.04222385
445000;3.97928E-4;0.040339892
450000;3.88024E-4;0.049368178
455000;4.03693E-4;0.052329631
460000;3.97633E-4;0.04051057
465000;4.01032E-4;0.046247563
470000;4.16872E-4;0.039152102
475000;4.10031E-4;0.038148888
480000;4.97987E-4;0.041530177
485000;5.16039E-4;0.042014311
490000;4.23057E-4;0.039767918
495000;4.39219E-4;0.041833604
500000;4.52479E-4;0.042638999
